Jelly Bean (AZULCOLONIAL),SKU-32244,Top Colors,41,123,154,#297B9A
Merlot (MARAVILHA),SKU-32654,Top Colors,131,25,35,#831923
Mexican Red (RUBI),SKU-32664,Top Colors,167,37,37,#A72525
Monza (PURPURA),SKU-32659,Top Colors,199,3,30,#C7031E
Nutmeg (GOIABA),SKU-32222,Top Colors,129,66,44,#81422C
Outer Space (PETROLEO),SKU-32450,Top Colors,45,56,58,#2D383A
Roman Coffee (CACAU),SKU-32454,Top Colors,121,93,76,#795D4C
Sand Dune (IMBUIA),SKU-32232,Top Colors,130,111,101,#826F65
Sea Green (VERDEBOSQUE),SKU-32238,Top Colors,46,139,87,#2E8B57
Seance (VIOLETA),SKU-32252,Top Colors,115,30,143,#731E8F
Shuttle Gray (AZULFRANCES),SKU-32231,Top Colors,95,102,114,#5F6672
Spicy Mix (TABACO),SKU-32440,Top Colors,136,83,66,#885342
St Tropaz (AZULSAFIRA),SKU-32666,Top Colors,45,86,155,#2D569B
Stark White (TERRAROSADA),SKU-32657,Top Colors,229,215,189,#E5D7BD
Steel Blue (AZULDANUBIO),SKU-32211,Top Colors,70,130,180,#4682B4
Stromboli (VERDEFLORESTA),SKU-32715,Top Colors,50,93,82,#325D52
Sushi (ABACATE),SKU-32236,Top Colors,135,171,57,#87AB39
Taupe (NOGUEIRA),SKU-32712,Top Colors,72,60,50,#483C32
Tom Thumb (HORTELA),SKU-32214,Top Colors,63,88,59,#3F583B
Venice Blue (AZULESCURO),SKU-32247,Top Colors,5,89,137,#055989
Walnut (CHOCOLATE),SKU-32439,Top Colors,119,63,26,#773F1A
