Amarelo,,Acrylic Paint,241,194,50,#F1C232
Azul,,Acrylic Paint,30,157,242,#1E9DF2
Branco,,Acrylic Paint,245,245,245,#F5F5F5
Marrom,,Acrylic Paint,156,110,9,#9C6E09
Preto,,Acrylic Paint,0,0,0,#000000
Verde de óxido de cromo,,Acrylic Paint,73,126,50,#497E32
Vermelho,,Acrylic Paint,255,0,0,#FF0000
Vermelho de Marte,,Acrylic Paint,111,29,16,#6F1D10
