Bege Areia,423,Decorfix Fosca,218,185,145,#DAB991
Amarelo Ocre,353,Decorfix Fosca,235,160,80,#EBA050
Marrom Dourado,418,Decorfix Fosca,167,104,63,#A7683F
Dusty Rose,456,Decorfix Fosca,197,158,149,#C59E95
Cerâmica Clara,363,Decorfix Fosca,173,93,83,#AD5D53
Telha,470,Decorfix Fosca,137,51,61,#89333D
Terra Siena Queimada,317,Decorfix Fosca,123,65,51,#7B4133
Vermelho Country,488,Decorfix Fosca,170,72,58,#AA483A
Burgundy,486,Decorfix Fosca,137,51,61,#89333D
Toffee,415,Decorfix Fosca,184,117,103,#B87567
Castanho Claro,352,Decorfix Fosca,146,84,68,#925444
Café,424,Decorfix Fosca,148,103,88,#946758
Marrom Claro,362,Decorfix Fosca,112,77,67,#704D43
Ferrugem,471,Decorfix Fosca,121,73,63,#79493F
Marrom,319,Decorfix Fosca,83,55,43,#53372B
Black Grape,358,Decorfix Fosca,76,50,48,#4C3230
Avelã,348,Decorfix Fosca,154,116,112,#9A7470
Mushroom,416,Decorfix Fosca,141,120,109,#8D786D
Dark Chocolate,354,Decorfix Fosca,86,54,47,#56362F
Alecrim,462,Decorfix Fosca,131,135,132,#838784
Cinza,468,Decorfix Fosca,142,142,152,#8E8E98
Cinza Profundo,381,Decorfix Fosca,71,84,109,#47546D
Gris de Payne,350,Decorfix Fosca,53,50,57,#353239
Preto,321,Decorfix Fosca,55,52,53,#373435
