Sépia,158,Acrylic Color Modelismo,170,146,144,#AA9290
Brown,159,Acrylic Color Modelismo,165,163,166,#A5A3A6
Dark Gray,160,Acrylic Color Modelismo,105,101,97,#696561
Violet Red,161,Acrylic Color Modelismo,137,68,125,#89447D
Hellblau RLM78,162,Acrylic Color Modelismo,134,142,144,#868E90
Gloss Black,164,Acrylic Color Modelismo,35,31,32,#231F20
Lichtblau RLM76,165,Acrylic Color Modelismo,84,82,77,#54524D
Braunviolett RLM81,166,Acrylic Color Modelismo,58,45,48,#3A2D30
Hellgrün RLM82,167,Acrylic Color Modelismo,33,57,40,#213928
Dunkelgrün RLM82,168,Acrylic Color Modelismo,51,52,40,#333428
Sandgelb RLM79,169,Acrylic Color Modelismo,172,95,72,#AC5F48
Hellblau RLM65,170,Acrylic Color Modelismo,102,135,155,#66879B
Schwarzgrün RLM70,171,Acrylic Color Modelismo,139,140,142,#8B8C8E
Dunkelgrün RLM71,172,Acrylic Color Modelismo,29,27,31,#1D1B1F
Graugrün RLM74,173,Acrylic Color Modelismo,29,31,35,#1D1F23
Grauviolett RLM75,174,Acrylic Color Modelismo,55,49,59,#37313B
Russian Base Green,175,Acrylic Color Modelismo,25,33,18,#192112
Medium Green FS 34092,176,Acrylic Color Modelismo,59,65,25,#3B4119
Dark Gray FS 36176-Mod Eagle,177,Acrylic Color Modelismo,95,113,136,#5F7188
Sky-S FS 34424,178,Acrylic Color Modelismo,176,204,161,#B0CCA1
RLM80,179,Acrylic Color Modelismo,121,86,54,#795636
Wood,180,Acrylic Color Modelismo,121,86,54,#795636
Leather,181,Acrylic Color Modelismo,76,35,36,#4C2324
Pale Sand,182,Acrylic Color Modelismo,212,193,153,#D4C199
Pastel Green,183,Acrylic Color Modelismo,137,143,118,#898F76
Bronze Green RLM82,184,Acrylic Color Modelismo,38,47,46,#262F2E
Stone Gray RLM79,185,Acrylic Color Modelismo,139,132,114,#8B8472
Blue Gray Pale - FS 35237,186,Acrylic Color Modelismo,113,119,124,#71777C
Field Drab,187,Acrylic Color Modelismo,85,67,41,#554329
Atlantic Gray,188,Acrylic Color Modelismo,153,151,152,#999798
Sky Gray,189,Acrylic Color Modelismo,51,60,69,#333C45
Off White,190,Acrylic Color Modelismo,241,239,242,#F1EFF2
Basalt RAL7012,191,Acrylic Color Modelismo,93,98,101,#5D6265
German Uniform,192,Acrylic Color Modelismo,71,104,93,#47685D
RAL6014,193,Acrylic Color Modelismo,84,72,44,#54482C
Burnt Umber,194,Acrylic Color Modelismo,73,52,40,#493428
Indigo,195,Acrylic Color Modelismo,24,57,102,#183966
Hull Red,196,Acrylic Color Modelismo,58,17,33,#3A1121
